datetime,Engine RPM (RPM),Battery Voltage (V),LP Fuel Pressure (PSI),HP Rail Pressure (PSI),Coolant Temp (°C),Oil Pressure (PSI),Engine Oil Temp (°C),Boost Pressure (PSI),Throttle Angle (%),Intake Pressure (PSI),Valvetronic Angle (deg)
2026-03-06 15:06:22.259,,,,,,,34.4,,,,
2026-03-06 15:06:22.354,,,,,29.5,,34.4,,,,
2026-03-06 15:06:22.449,,,,,29.5,,34.4,,,,190.6
2026-03-06 15:06:22.550,0,,,,29.5,,34.4,,,,190.6
2026-03-06 15:06:22.638,0,12.80,,,29.5,,34.4,,,,190.6
2026-03-06 15:06:22.734,0,12.80,,,29.5,,34.4,,8.4,,190.6
2026-03-06 15:06:22.848,0,12.80,,,29.5,0.4,34.4,,8.4,,190.6
2026-03-06 15:06:22.946,0,12.80,,,29.5,0.4,34.4,14.71,8.4,,190.6
2026-03-06 15:06:23.049,0,12.80,78.9,,29.5,0.4,34.4,14.71,8.4,,190.6
2026-03-06 15:06:23.148,0,12.80,78.9,87.8,29.5,0.4,34.4,14.71,8.4,,190.6
2026-03-06 15:06:23.242,0,12.80,78.9,87.8,29.5,0.4,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:23.338,0,12.80,78.9,87.8,29.5,0.4,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:23.441,0,12.80,78.9,87.8,29.5,0.4,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:23.545,0,12.80,78.9,87.8,29.5,0.4,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:23.634,0,12.80,78.9,87.8,29.5,0.4,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:23.738,0,12.80,78.9,87.8,29.5,0.4,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:23.844,0,12.80,78.9,87.8,29.5,0.4,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:23.940,0,12.80,78.9,87.8,29.5,0.5,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:24.042,0,12.80,78.9,87.8,29.5,0.5,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:24.146,0,12.80,78.9,87.8,29.5,0.5,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:24.250,0,12.80,78.9,87.2,29.5,0.5,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:24.345,0,12.80,78.9,87.2,29.5,0.5,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:24.442,0,12.80,78.9,87.2,29.5,0.5,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:24.544,0,12.80,78.9,87.2,29.5,0.5,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:24.632,0,12.80,78.9,87.2,29.5,0.5,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:24.734,0,12.80,78.9,87.2,29.5,0.5,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:24.826,0,12.80,78.9,87.2,29.5,0.5,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:24.935,0,12.80,78.9,87.2,29.5,0.5,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:25.024,0,12.80,78.9,87.2,29.5,0.4,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:25.112,0,12.80,78.9,87.2,29.5,0.4,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:25.204,0,12.80,78.9,87.2,29.5,0.4,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:25.292,0,12.80,78.9,87.8,29.5,0.4,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:25.387,0,12.80,78.9,87.8,29.5,0.4,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:25.484,0,12.80,78.9,87.8,29.5,0.4,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:25.574,0,12.80,78.9,87.8,29.5,0.4,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:25.677,0,12.80,78.9,87.8,29.5,0.4,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:25.782,0,12.80,78.9,87.8,29.5,0.4,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:25.887,0,12.80,78.9,87.8,29.5,0.4,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:25.981,0,12.80,78.9,87.8,29.5,0.4,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:26.083,0,12.80,78.9,87.8,29.5,0.4,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:26.181,0,12.80,78.9,87.8,29.5,0.4,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:26.288,0,12.80,78.8,87.8,29.5,0.4,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:26.393,0,12.80,78.8,88.5,29.5,0.4,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:26.492,0,12.80,78.8,88.5,29.5,0.4,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:26.585,0,12.80,78.8,88.5,29.5,0.4,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:26.680,0,12.80,78.8,88.5,29.5,0.4,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:26.778,0,12.80,78.8,88.5,29.5,0.4,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:26.881,0,12.80,78.8,88.5,29.5,0.4,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:26.986,0,12.80,78.8,88.5,29.5,0.4,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:27.097,0,12.80,78.8,88.5,29.5,0.4,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:27.191,0,12.80,78.8,88.5,29.5,0.5,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:27.296,0,12.80,78.8,88.5,29.5,0.5,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:27.383,0,12.80,78.7,88.5,29.5,0.5,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:27.486,0,12.80,78.7,87.8,29.5,0.5,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:27.596,0,12.80,78.7,87.8,29.5,0.5,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:27.690,0,12.80,78.7,87.8,29.5,0.5,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:27.794,0,12.80,78.7,87.8,29.5,0.5,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:27.898,0,12.80,78.7,87.8,29.5,0.5,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:27.994,0,12.80,78.7,87.8,29.5,0.5,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:28.096,0,12.80,78.7,87.8,29.5,0.5,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:28.202,0,12.80,78.7,87.8,29.5,0.5,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:28.297,0,12.80,78.7,87.8,29.5,0.4,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:28.394,0,12.80,78.7,87.8,29.5,0.4,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:28.484,0,12.80,78.7,87.8,29.5,0.4,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:28.586,0,12.80,78.7,88.5,29.5,0.4,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:28.684,0,12.80,78.7,88.5,29.5,0.4,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:28.780,0,12.80,78.7,88.5,29.5,0.4,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:28.883,0,12.80,78.7,88.5,29.5,0.4,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:28.988,0,12.80,78.7,88.5,29.5,0.4,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:29.090,0,12.80,78.7,88.5,29.5,0.4,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:29.198,0,12.80,78.7,88.5,29.5,0.4,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:29.303,0,12.80,78.7,88.5,29.5,0.4,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:29.397,0,12.80,78.7,88.5,29.5,0.4,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:29.502,0,12.80,78.7,88.5,29.5,0.4,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:29.596,0,12.80,78.7,88.5,29.5,0.4,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:29.700,0,12.80,78.7,87.8,29.5,0.4,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:29.797,0,12.80,78.7,87.8,29.5,0.4,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:29.891,0,12.80,78.7,87.8,29.5,0.4,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:29.998,0,12.80,78.7,87.8,29.5,0.4,34.4,14.71,8.4,14.72,190.6
2026-03-06 15:06:30.107,0,12.80,78.7,87.8,29.5,0.4,34.4,14.71,8.4,14.72,181.0
2026-03-06 15:06:30.216,108,12.80,78.7,87.8,29.5,0.4,34.4,14.71,8.4,14.72,181.0
2026-03-06 15:06:30.324,108,10.50,78.7,87.8,29.5,0.4,34.4,14.71,8.4,14.72,181.0
2026-03-06 15:06:30.428,108,10.50,78.7,87.8,29.5,0.4,34.4,14.71,28.2,14.72,181.0
2026-03-06 15:06:30.524,108,10.50,78.7,87.8,29.5,1.6,34.4,14.71,28.2,14.72,181.0
2026-03-06 15:06:30.613,108,10.50,78.7,87.8,29.5,1.6,34.4,14.61,28.2,14.72,181.0
2026-03-06 15:06:30.703,108,10.50,102.2,87.8,29.5,1.6,34.4,14.61,28.2,14.72,181.0
2026-03-06 15:06:30.805,108,10.50,102.2,1790.0,29.5,1.6,34.4,14.61,28.2,14.72,181.0
2026-03-06 15:06:30.894,108,10.50,102.2,1790.0,29.5,1.6,34.4,14.61,28.2,14.54,181.0
2026-03-06 15:06:30.982,108,10.50,102.2,1790.0,29.5,1.6,34.4,14.61,28.2,14.54,181.0
